headlines,date,type
Kaitlin Bennett,2020-02-18,topTrendingOnSm
Michael Jordan,2020-02-18,topTrendingOnSm
Katie Waldman,2020-02-18,topTrendingOnSm
Kellye Nakahara,2020-02-18,topTrendingOnSm
Champions League,2020-02-18,topTrendingOnSm
UNC basketball,2020-02-18,topTrendingOnSm
Amie Harwick,2020-02-18,topTrendingOnSm
Aubrey Huff,2020-02-18,topTrendingOnSm
FOX Sports,2020-02-18,topTrendingOnSm
Rod Blagojevich,2020-02-18,topTrendingOnSm
America's Got Talent: The...,2020-02-18,topTrendingOnSm
Chelsea vs Man United,2020-02-18,topTrendingOnSm
i<e2><80><99>ve had enough of 2020<e2><80><94> Kylie Jenner (@KylieJenner) ,2020-02-19,topTweets
Ryan Newman has been treated and released from Halifax Medical Center https://t.co/J0twhGgQm7<e2><80><94> Roush Fenway (@roushfenway) ,2020-02-19,topTweets
#BREAKING: Rapper Pop Smoke shot and killed in what appears to be a home invasion robbery https://t.co/4heONMx7TH<e2><80><94> TMZ (@TMZ) ,2020-02-19,topTweets
Ryan Newman condition: Walking around after Daytona 500 crash,2020-02-19,topNewsHeadlines
"Rapper Pop Smoke Dead, Murdered in Home Invasion",2020-02-19,topNewsHeadlines
Good Times' Star Ja'net DuBois Dead at 74,2020-02-19,topNewsHeadlines
"Trump Commutes Blagojevich's Sentence, Gives Clemency To 10 More : NPR",2020-02-19,topNewsHeadlines
Trump pardons the swamp - Axios,2020-02-19,topNewsHeadlines
Anitra Gunn case: Body of missing Fort Valley State student found,2020-02-19,topNewsHeadlines
Indiana Beach to close after 94 years,2020-02-19,topNewsHeadlines
Julian Assange Claims Trump Offered a Pardon for Help Covering Up Russia<e2><80><99>s 2016 Hacking,2020-02-19,topNewsHeadlines
"Larry Tesler, Modeless Computing Advocate, Has Passed Away",2020-02-19,topNewsHeadlines
Mall Madness Is Coming Back In Fall 2020 <e2><80><94> EXCLUSIVE,2020-02-19,topNewsHeadlines
Hasbro's Halo-themed Nerf gun lineup includes a Needler,2020-02-19,topNewsHeadlines
Pop Smoke,2020-02-19,topTrendingOnSm
Harvey Weinstein,2020-02-19,topTrendingOnSm
The Weeknd,2020-02-19,topTrendingOnSm
Ja'Net DuBois,2020-02-19,topTrendingOnSm
Rod Blagojevich,2020-02-19,topTrendingOnSm
Liverpool,2020-02-19,topTrendingOnSm
PSG,2020-02-19,topTrendingOnSm
Democratic debate,2020-02-19,topTrendingOnSm
Stefon Diggs,2020-02-19,topTrendingOnSm
Wendy Williams,2020-02-19,topTrendingOnSm
Steve Kazee,2020-02-19,topTrendingOnSm
John Beilein,2020-02-19,topTrendingOnSm
"I trust Warren. That trust does not come easy for me, especially when it comes to politicians.But I believe in Elizabeth Warren. She was the right candidate to take on this dark moment in history. I'm grateful that she's running and that she's got our backs. https://t.co/1pwMQIzz9a<e2><80><94> Sarah Kendzior (@sarahkendzior) ",2020-02-20,topTweets
Now imagine Elizabeth Warren doing that to Donald Trump in October. #PresidentElizabethWarren<e2><80><94> Juli<c3><a1>n Castro (@JulianCastro) ,2020-02-20,topTweets
"Do not discount how others describe you. Assess the source, the comments, and the intent. It will either help you learn more about you, or learn a lot about those you give your time to.<e2><80><94> John Cena (@JohnCena) ",2020-02-20,topTweets
Ryan Newman walks out of hospital days after horrific Daytona 500 crash,2020-02-20,topNewsHeadlines
"Larry Tesler, Modeless Computing Advocate, Has Passed Away",2020-02-20,topNewsHeadlines
Neil Young Pens Open Letter to Donald Trump: 'You Are a Disgrace',2020-02-20,topNewsHeadlines
Melania Trump Awarded <e2><80><98>Woman Of Distinction<e2><80><99> From University Despite Student Protests,2020-02-20,topNewsHeadlines
Bloomberg Nails <e2><80><98>Socialist<e2><80><99> Bernie: You<e2><80><99>re <e2><80><98>A Millionaire With 3 Houses<e2><80><99>,2020-02-20,topNewsHeadlines
"After 80 straight days of clouds, Seattle FINALLY has first sunny day of the decade",2020-02-20,topNewsHeadlines
Trump's choice for Intel Director called 'a national disgrace',2020-02-20,topNewsHeadlines
Dentistry student shares touching story of being raised by father with Down syndrome,2020-02-20,topNewsHeadlines
Mysterious group protests Dem debate by unleashing pigeons wearing MAGA hats,2020-02-20,topNewsHeadlines
TBI issues Amber Alert for missing East Tennessee 15-month-old girl,2020-02-20,topNewsHeadlines
Hundreds camp out overnight ahead of Trump rally in Colorado,2020-02-20,topNewsHeadlines
#CriminalMinds,2020-02-20,topTrendingOnSm
Pop Smoke,2020-02-20,topTrendingOnSm
#NeoZone_MiniTracks2,2020-02-20,topTrendingOnSm
Duke basketball,2020-02-20,topTrendingOnSm
Greg Robinson,2020-02-20,topTrendingOnSm
Steve Kazee,2020-02-20,topTrendingOnSm
Find My Mobile,2020-02-20,topTrendingOnSm
Mikaela Spielberg,2020-02-20,topTrendingOnSm
#LoveYourPetDay,2020-02-20,topTrendingOnSm
Chris Pratt,2020-02-20,topTrendingOnSm
Rowan Baxter,2020-02-20,topTrendingOnSm
Tottenham,2020-02-20,topTrendingOnSm
The Friends cast set to reunite for exclusive HBO Max Special <f0><9f><91><8f><f0><9f><91><8f><f0><9f><91><8f><f0><9f><91><8f> #FriendsReunion https://t.co/89kTTKSREa https://t.co/hRKIElVxvj<e2><80><94> HBO Max (@hbomax) ,2020-02-21,topTweets
"Y<e2><80><99>all checking Snapchat while on the aux... come on bro. lets be professional. Please.<e2><80><94> <e2><80><8f><d9><8b> (@WrongN1K) February 20, 2020Watch our full interview with #BTS! #BTSTODAY https://t.co/yKWNnZ8p81<e2><80><94> TODAY (@TODAYshow) ",2020-02-21,topTweets
Lawmakers Are Warned That Russia Is Meddling to Re-elect Trump,2020-02-21,topNewsHeadlines
Mom Shares Video of Son Saying He Wants to Die to Show the Effects of Bullying,2020-02-21,topNewsHeadlines
"Comedian Brad Williams Raises Over $30,000 to Send Bullied 9-Year-Old to Disneyland",2020-02-21,topNewsHeadlines
"To show impact of bullying, mom shares video of son, 9, saying he wants to die",2020-02-21,topNewsHeadlines
"Following Storm Ciara, This Woman Captures A Once-in-a-lifetime <e2><80><98>Eye Of The Storm<e2><80><99> Moment",2020-02-21,topNewsHeadlines
It's Official: A Friends Cast Reunion Is Coming to HBO Max,2020-02-21,topNewsHeadlines
Trump says Roger Stone has 'very good chance of exoneration' hours after sentencing,2020-02-21,topNewsHeadlines
"USC offers free tuition to students from families making under $80,000; home ownership will not factor in need",2020-02-21,topNewsHeadlines
"Russia trying to help Bernie Sanders's campaign, according to briefing from U.S. officials",2020-02-21,topNewsHeadlines
Elizabeth Warren Democratic Debate - I Love That She's Angry,2020-02-21,topNewsHeadlines
"Lori Vallow, mother of two missing Idaho children, arrested in Hawaii",2020-02-21,topNewsHeadlines
Markieff Morris,2020-02-21,topTrendingOnSm
#SmackDown,2020-02-21,topTrendingOnSm
Quaden,2020-02-21,topTrendingOnSm
#TrumpIsARussianAsset,2020-02-21,topTrendingOnSm
#OldMe,2020-02-21,topTrendingOnSm
My Time,2020-02-21,topTrendingOnSm
Gone with the Wind,2020-02-21,topTrendingOnSm
#BTSComeback2020,2020-02-21,topTrendingOnSm
#NationalPetDay,2020-02-21,topTrendingOnSm
Kase,2020-02-21,topTrendingOnSm
#AtinySelcaDay,2020-02-21,topTrendingOnSm
#BernieKnew,2020-02-21,topTrendingOnSm
i want what they have https://t.co/lVrcfhhtyw<e2><80><94> nope (@LilNasX) ,2020-02-22,topTweets
"Join us, bighit said. You don<e2><80><99>t have to dance, bighit said. Yoongi, 7 years later: https://t.co/fq7YXGpiGk<e2><80><94> <e3><81><be><e3><81><8a><e2><81><b7> @ taekooking <f0><9f><98><81><f0><9f><98><8f> (@loveis9597) February 21, 20203 signs you should jump in while your friend is fighting <f0><9f><a4><a3><f0><9f><98><ad><f0><9f><a4><a6><f0><9f><8f><be><e2><80><8d><e2><99><82><ef><b8><8f> https://t.co/hj9TSCObOF<e2><80><94> Mark Phillips (@SupremeDreams_1) ",2020-02-22,topTweets
It's Official: A Friends Cast Reunion Is Coming to HBO Max,2020-02-22,topNewsHeadlines
"Russia trying to help Bernie Sanders's campaign, according to briefing from U.S. officials",2020-02-22,topNewsHeadlines
Is Quaden Bayles 18 Years Old?,2020-02-22,topNewsHeadlines
"BTS on the Past, Creativity and Inspiration for <e2><80><98>Map of the Soul: 7<e2><80><99>",2020-02-22,topNewsHeadlines
"Blind Harvey man believes guide dog Lucca was stolen from backyard, pleads for his return",2020-02-22,topNewsHeadlines
Greyhound to stop allowing immigration checks on buses,2020-02-22,topNewsHeadlines
Donald Trump Jr. Receives Permit Allowing Him to Hunt Alaska Grizzly Bear,2020-02-22,topNewsHeadlines
Nolte: Clint Eastwood Backs Mike Bloomberg for President,2020-02-22,topNewsHeadlines
Florida Legislature passes abortion parental consent bill,2020-02-22,topNewsHeadlines
<e2><80><9c>Here Is A Toy So He Won<e2><80><99>t Forget Me<e2><80><9d>: Boy Leaves His Helpless Puppy At A Shelter So His Dad Can<e2><80><99>t Beat It,2020-02-22,topNewsHeadlines
"Maxine Waters defends Crips, Bloods 'in the 'hood' as having more integrity than Trump",2020-02-22,topNewsHeadlines
#NevadaCaucus,2020-02-22,topTrendingOnSm
Grizzlies vs Lakers,2020-02-22,topTrendingOnSm
Friends,2020-02-22,topTrendingOnSm
#PardonAMovieOrTVShow,2020-02-22,topTrendingOnSm
Markieff Morris,2020-02-22,topTrendingOnSm
Quaden Bayles,2020-02-22,topTrendingOnSm
Baylor basketball,2020-02-22,topTrendingOnSm
Jeffree Star,2020-02-22,topTrendingOnSm
BTS,2020-02-22,topTrendingOnSm
Chelsea vs Tottenham,2020-02-22,topTrendingOnSm
Hunters,2020-02-22,topTrendingOnSm
Lakers,2020-02-22,topTrendingOnSm
<e2><80><9c>Bro go get the pistol hurry up...<e2><80><9d> https://t.co/MBDGdaRpxE<e2><80><94> <c2><b2> (@DosRivers) ,2020-02-23,topTweets
"In 2010, I had good union health insurance. Obamacare was the law of the land. In November that yr my 1yo son was struck by a careless driver in a crosswalk. After two surgeries and a night in intensive care, he died.<e2><80><94> Michelle DuBarry (@DuBarryPie) ",2020-02-23,topTweets
maybe getting back up again is what falls are for<e2><80><94> Ariana Grande (@ArianaGrande) ,2020-02-23,topTweets
Bullied Australian boy Quaden Bayles leads out rugby team in front of thousands,2020-02-23,topNewsHeadlines
Judge Judy will fight the Bernie Sanders revolution 'to the death',2020-02-23,topNewsHeadlines
"Sanders says his 'grassroots movement is unstoppable,' vows to defeat Trump after Nevada win",2020-02-23,topNewsHeadlines
How Good Friends Are Good For Your Health : Shots,2020-02-23,topNewsHeadlines
"Model, author, restaurateur B. Smith dies of early onset Alzheimer's disease at 70, family friend says",2020-02-23,topNewsHeadlines
"Philip Haney, DHS whistleblower, found dead, police say",2020-02-23,topNewsHeadlines
Homeland Security Whistleblower From Obama Era Found Dead,2020-02-23,topNewsHeadlines
Clint Eastwood Ditches Donald Trump for Mike Bloomberg in Election,2020-02-23,topNewsHeadlines
"Lucca, a stolen guide dog, returned to blind Harvey man",2020-02-23,topNewsHeadlines
Newly-banned Thai opposition party says junta helped 1MDB cover-up,2020-02-23,topNewsHeadlines
Sotomayor says the Supreme Court puts <e2><80><9c>a thumb on the scale<e2><80><9d> for Trump,2020-02-23,topNewsHeadlines
Mad Mike Hughes,2020-02-23,topTrendingOnSm
Celtics vs Lakers,2020-02-23,topTrendingOnSm
#FireChrisMathews,2020-02-23,topTrendingOnSm
Barcelona vs Eibar,2020-02-23,topTrendingOnSm
Real Madrid,2020-02-23,topTrendingOnSm
Travis Scott,2020-02-23,topTrendingOnSm
David Ayres,2020-02-23,topTrendingOnSm
B. Smith,2020-02-23,topTrendingOnSm
Gigi Hadid,2020-02-23,topTrendingOnSm
Amie Harwick,2020-02-23,topTrendingOnSm
Nevada caucus,2020-02-23,topTrendingOnSm
Chelsea vs Tottenham,2020-02-23,topTrendingOnSm
Shaq: <e2><80><9c>I told Kobe there<e2><80><99>s no I in team<e2><80><9d>Kobe: <e2><80><9c>I know but there<e2><80><99>s a <e2><80><9c>ME<e2><80><9d> in that mothafucka<e2><80><9d>Legend. https://t.co/6591HR2xAZ<e2><80><94> Barstool Sports (@barstoolsports) ,2020-02-24,topTweets
Namjoon in america: its because we're cuteNamjoon in Korea: Our popularity comes from a variety of factors and in this age of globalization we can see that....<e2><80><94> Liz<e2><81><b7> (@baepsayed) ,2020-02-24,topTweets
"Beyonc<c3><a9> performing ""XO"" and Halo at the Kobe Bryant memorial and the other victims of the accident. #KobeFarewellhttps://t.co/YaMtVi9Nku<e2><80><94> BEYONC<c3><89> NEWS (@BeyonceHiveNews) ",2020-02-24,topTweets
Harvey Weinstein found guilty of rape at New York trial,2020-02-24,topNewsHeadlines
"Katherine Johnson, NASA mathematician depicted in 'Hidden Figures,' dies at 101",2020-02-24,topNewsHeadlines
"Vanessa Bryant Files Wrongful Death Lawsuit Against Helicopter Co., Pilot",2020-02-24,topNewsHeadlines
"Bernie Sanders Becomes First Candidate, Democrat or Republican, to Win Popular Vote in All 3 Early Voting States",2020-02-24,topNewsHeadlines
Bill Russell wears Kobe Bryant jersey to Lakers-Celtics game,2020-02-24,topNewsHeadlines
"More Than 100,000 In India Pack Massive Stadium To Greet Trump, First Lady On Whirlwind Trip",2020-02-24,topNewsHeadlines
A police dog that was killed in the line of duty will be buried in a customized casket,2020-02-24,topNewsHeadlines
B. Smith dead: Style expert dies of Alzheimer<e2><80><99>s Disease,2020-02-24,topNewsHeadlines
The Sun records <c2><a3>68m loss amid falling sales and hacking damages,2020-02-24,topNewsHeadlines
12-year-old boy drops off pit bull puppy at shelter to protect it from his abusive father,2020-02-24,topNewsHeadlines
An Antarctica heat wave melted 20% of an island's snow in 9 days,2020-02-24,topNewsHeadlines
#TheWalkingDead,2020-02-24,topTrendingOnSm
#BetterCallSaul,2020-02-24,topTrendingOnSm
Katherine Johnson,2020-02-24,topTrendingOnSm
Gigi Hadid,2020-02-24,topTrendingOnSm
#NHLTradeDeadline,2020-02-24,topTrendingOnSm
Italy coronavirus,2020-02-24,topTrendingOnSm
David Ayres,2020-02-24,topTrendingOnSm
Harvey Weinstein,2020-02-24,topTrendingOnSm
Mad Mike Hughes,2020-02-24,topTrendingOnSm
Kirk Douglas,2020-02-24,topTrendingOnSm
Prodigy,2020-02-24,topTrendingOnSm
Docs,2020-02-24,topTrendingOnSm
I<e2><80><99>m saddened to share that my 16 y/o son Jaden is missing in Detroit. He was last seen on Saturday morning in the Greenacres neighborhood. He attends Jalen Rose Leadership Academy. If you have friends and family in Detroit that can reach out to people hi<e2><80><a6> https://t.co/sfW48UxlEA https://t.co/BSnM3Qkw0G<e2><80><94> Angela (@TheKitchenista) ,2020-02-25,topTweets
<e2><80><9c>STUPID LOVE<e2><80><9d>THE NEW SINGLE BY LADY GAGA OUT FRIDAY AT MIDNIGHT ET #LG6 https://t.co/lu4zDqlepm<e2><80><94> Lady Gaga (@ladygaga) ,2020-02-25,topTweets
"""U look tired"" Bro i wanna die<e2><80><94> <e2><80><8f><d9><8b> (@WrongN1K) February 24, 2020",2020-02-25,topTweets
"Katherine Johnson, NASA Mathematician Featured in 'Hidden Figures,' Dies at 101",2020-02-25,topNewsHeadlines
Vanessa Bryant pays tearful tribute to Kobe and Gianna in speech at memorial,2020-02-25,topNewsHeadlines
Harvey Weinstein convicted of rape at New York trial,2020-02-25,topNewsHeadlines
Watch BTS shut down Grand Central Terminal with performance of ON,2020-02-25,topNewsHeadlines
"Americans should prepare for coronavirus crisis in U.S., CDC says",2020-02-25,topNewsHeadlines
Trump Demands Two Liberal Justices Recuse Themselves From His Cases,2020-02-25,topNewsHeadlines
Coronavirus wipes out $1.7 trillion in US stock market value in two days,2020-02-25,topNewsHeadlines
"BREAKING: Bernie Continues Praise For Murderous Dictator Castro, Praises Communist China",2020-02-25,topNewsHeadlines
An Antarctica heat wave melted 20% of an island's snow in 9 days,2020-02-25,topNewsHeadlines
"Coronavirus Live Updates: Disruptions, Rising Cases, Market Tremors,Warnings",2020-02-25,topNewsHeadlines
"Bernie Sanders reveals 'major plans' to be funded by new taxes, massive lawsuits, military cuts",2020-02-25,topNewsHeadlines
Katherine Johnson,2020-02-25,topTrendingOnSm
Snake,2020-02-25,topTrendingOnSm
Steven Spielberg daughter,2020-02-25,topTrendingOnSm
Harvey Weinstein,2020-02-25,topTrendingOnSm
Google Docs,2020-02-25,topTrendingOnSm
Prodigy,2020-02-25,topTrendingOnSm
#TheBachelor,2020-02-25,topTrendingOnSm
Bob Iger,2020-02-25,topTrendingOnSm
Sixers,2020-02-25,topTrendingOnSm
Tesla stock,2020-02-25,topTrendingOnSm
Nick Jonas,2020-02-25,topTrendingOnSm
Napoli vs Barcelona,2020-02-25,topTrendingOnSm
Me homeless cause hobi & joon took my job https://t.co/28WwHXVChh<e2><80><94> iamcardib (@iamcardib) ,2020-02-26,topTweets
"A special thank you to the #BTSARMY all around the world that stayed up late or woke up early to watch our #BTSCarpool<f0><9f><92><9c>We hope you loved it as much as we loved making it. Now have a snack, a drink of water and go get some rest! <f0><9f><98><82>https://t.co/9rq77HyWho<e2><80><94> The Late Late Show with PAPA MOCHI<e2><81><b7> (@latelateshow) ",2020-02-26,topTweets
"I think this makes it official <f0><9f><92><9c> https://t.co/m1YZ5lDMd6<e2><80><94> The Late Late Show with PAPA MOCHI<e2><81><b7> (@latelateshow) February 27, 2020",2020-02-26,topTweets
Court rules Trump administration can withhold funds from sanctuary cities - Axios,2020-02-26,topNewsHeadlines
"Americans should prepare for coronavirus crisis in U.S., CDC says",2020-02-26,topNewsHeadlines
Meet the veterinarian walking around the streets of California and treating homeless peoples' animals for free,2020-02-26,topNewsHeadlines
Supreme Court Rules Border Patrol Agents Who Shoot Foreign Nationals Can't Be Sued,2020-02-26,topNewsHeadlines
Milwaukee shooting: 6 dead at Molson Coors; gunman also dead,2020-02-26,topNewsHeadlines
American Horror Story Season 10 Welcomes Macaulay Culkin,2020-02-26,topNewsHeadlines
Coronavirus wipes out $1.7 trillion in US stock market value in two days,2020-02-26,topNewsHeadlines
"Congress makes lynching a federal crime, 65 years after Emmett Till",2020-02-26,topNewsHeadlines
"Trump rips coronavirus coverage, to hold news conference",2020-02-26,topNewsHeadlines
Ruth Bader Ginsburg Says Trump Should Recuse Himself from All Decisions Involving the Future of the Country,2020-02-26,topNewsHeadlines
Scotland was the first country in the world to make sanitary products free for everyone,2020-02-26,topNewsHeadlines
Maria Sharapova,2020-02-26,topTrendingOnSm
Ash Wednesday,2020-02-26,topTrendingOnSm
Real Madrid,2020-02-26,topTrendingOnSm
Gabriel Fernandez,2020-02-26,topTrendingOnSm
Bob Iger,2020-02-26,topTrendingOnSm
IHOP,2020-02-26,topTrendingOnSm
CDC,2020-02-26,topTrendingOnSm
UNC basketball,2020-02-26,topTrendingOnSm
Mazzy Star,2020-02-26,topTrendingOnSm
Napoli vs Barcelona,2020-02-26,topTrendingOnSm
Raptors,2020-02-26,topTrendingOnSm
Chelsea vs Bayern,2020-02-26,topTrendingOnSm
<e2><80><9c>STUPID LOVE<e2><80><9d> 9 HOURS #LG6 #ShotOniPhone https://t.co/ZMdoy3jGDG<e2><80><94> Lady Gaga (@ladygaga) ,2020-02-27,topTweets
"I was the WH Ebola Response Coordinator in 2014-15.  We never told @CDCgov or @NIH what they could say, or ever censored their medical statements.  If the WH is doing that now, it is a danger to public health. https://t.co/uVikNASztD<e2><80><94> Ronald Klain (@RonaldKlain) ",2020-02-27,topTweets
Question: do you know what today is? Answer: it<e2><80><99>s my favorite day of the year. That<e2><80><99>s right folks... today is #NationalChiliDay and I<e2><80><99>ve partnered with BUSH<e2><80><99>S<c2><ae> Beans to share with you MY chili recipe to help you celebrate the biggest day of the year. #ad @BushsBeans https://t.co/0pSF7HSj3y<e2><80><94> Brian Baumgartner (@BBBaumgartner) ,2020-02-27,topTweets
"Trump administration launches new unit to strip US citizenship from foreign-born terrorists, criminals",2020-02-27,topNewsHeadlines
American Horror Story Season 10 Welcomes Macaulay Culkin,2020-02-27,topNewsHeadlines
"Court hands Trump win in sanctuary city fight, says administration can deny grant money",2020-02-27,topNewsHeadlines
Appeals court approves DOJ punishment for sanctuary cities,2020-02-27,topNewsHeadlines
Trump administration says coronavirus vaccine may not be affordable,2020-02-27,topNewsHeadlines
Scotland Is About To Make History As The First Country To Make Feminine Hygiene Products Free,2020-02-27,topNewsHeadlines
"With An Election On The Horizon, Older Adults Get Help Spotting Fake News",2020-02-27,topNewsHeadlines
Milwaukee shooting: 5 dead at Molson Coors; gunman also dead,2020-02-27,topNewsHeadlines
HHS whistleblower says workers without protection or training assisted coronavirus evacuees on US military bases,2020-02-27,topNewsHeadlines
CDC recommends men shave their beards to protect against coronavirus,2020-02-27,topNewsHeadlines
Kentucky Republican Flips State House Seat Held by Democrats for 50 Years,2020-02-27,topNewsHeadlines
Gabriel Fernandez,2020-02-27,topTrendingOnSm
#MyHeroAcademiaHeroesRising,2020-02-27,topTrendingOnSm
Owned by Taylor Swift,2020-02-27,topTrendingOnSm
#TrumpCouldBeAGoodGuyIf,2020-02-27,topTrendingOnSm
#WWESSD,2020-02-27,topTrendingOnSm
Goldberg,2020-02-27,topTrendingOnSm
Doja Cat,2020-02-27,topTrendingOnSm
#GhostAdventures,2020-02-27,topTrendingOnSm
#TheManMusicVideo,2020-02-27,topTrendingOnSm
#COVID19US,2020-02-27,topTrendingOnSm
#loveisblindfinale,2020-02-27,topTrendingOnSm
Best Concert,2020-02-27,topTrendingOnSm
"Happiness Over Everything, HOE !!<e2><80><94> Chilombo (@JheneAiko) ",2020-02-28,topTweets
"When a Hindu kills a Muslim, it<e2><80><99>s <e2><80><9c>communal violence,<e2><80><9d> but when a Muslim fights back in self defense, it<e2><80><99>s <e2><80><9c>Islamic terrorism.<e2><80><9d>#DelhiRiots2020<e2><80><94> CJ Werleman (@cjwerleman) ",2020-02-28,topTweets
Let<e2><80><99>s gooooooooooo https://t.co/dxmejSKGB2<e2><80><94> Lil Baby (@lilbaby4PF) ,2020-02-28,topTweets
Pence Will Control All Coronavirus Messaging From Health Officials,2020-02-28,topNewsHeadlines
HHS whistleblower says workers without protection or training assisted coronavirus evacuees on US military bases,2020-02-28,topNewsHeadlines
"Black History Month: First grade teacher dresses up as a different black trailblazer every day of February, in Suffolk, Virginia",2020-02-28,topNewsHeadlines
"Dow falls 1,191 points -- the most in history",2020-02-28,topNewsHeadlines
Coronavirus: Trump admin bars Anthony Fauci from discussing outbreak,2020-02-28,topNewsHeadlines
"Corona beer sounds like coronavirus, but it's not making any changes to its marketing",2020-02-28,topNewsHeadlines
Disney Jungle Cruise Boat Sinks with People Aboard at Magic Kingdom,2020-02-28,topNewsHeadlines
"Cincinnati church wipes out $46.5 million in medical debt for 45,000 families",2020-02-28,topNewsHeadlines
Report: White House locking down messaging from federal government on coronavirus,2020-02-28,topNewsHeadlines
Food Service Workers Say Lack Of Sick Days Could Worsen Coronavirus,2020-02-28,topNewsHeadlines
"Law & Order: SVU,' 3 'Chicago' dramas renewed for 3 seasons",2020-02-28,topNewsHeadlines
Sir John Tenniel,2020-02-28,topTrendingOnSm
#StupidLove,2020-02-28,topTrendingOnSm
Jonathan Taylor,2020-02-28,topTrendingOnSm
Barry Sanders,2020-02-28,topTrendingOnSm
Bad Bunny,2020-02-28,topTrendingOnSm
Altered Carbon,2020-02-28,topTrendingOnSm
Lakers vs Warriors,2020-02-28,topTrendingOnSm
The Invisible Man,2020-02-28,topTrendingOnSm
Tom Brady,2020-02-28,topTrendingOnSm
WWE Super ShowDown,2020-02-28,topTrendingOnSm
Bobby Ryan,2020-02-28,topTrendingOnSm
Five Finger Death Punch F8,2020-02-28,topTrendingOnSm
"imagine how disappointed you<e2><80><99>d be going to london based off of this video https://t.co/GGTCXT3sIk<e2><80><94> issy<f0><9f><90><86> (@lovelessissy) February 28, 2020I admit to being stuck on the fact that the President just convened reporters to announce the 1st US coronavirus death, a man in his 50s in Washington State.The president said ""She was a wonderful woman.""This is ridiculous.Just stop. Stop talking. Let the scientists talk.<e2><80><94> Rachel Maddow MSNBC (@maddow) ",2020-02-29,topTweets
"Before getting off the bus, this little girl told the bus driver that <e2><80><9c>Shake It Off<e2><80><9d> was her favorite song. He stopped everything he was doing, parked the bus, turned up the song, and jammed with her...<f0><9f><92><aa><f0><9f><8c><8e><f0><9f><8e><b6><e2><9d><a4><ef><b8><8f> https://t.co/VgUXdKURS0<e2><80><94> Rex Chapman<f0><9f><8f><87><f0><9f><8f><bc> (@RexChapman) ",2020-02-29,topTweets
Trump calls coronavirus Democrats' 'new hoax',2020-02-29,topNewsHeadlines
Taliban sign landmark agreement in bid to end America's longest war,2020-02-29,topNewsHeadlines
First coronavirus death in the U.S. happens in Washington state,2020-02-29,topNewsHeadlines
Coronavirus: Trump admin bars Anthony Fauci from discussing outbreak,2020-02-29,topNewsHeadlines
"Corona beer sounds like coronavirus, but it's not making any changes to its marketing",2020-02-29,topNewsHeadlines
"Biden wins South Carolina primary, Sanders in 2nd, NBC News projects",2020-02-29,topNewsHeadlines
"The proper way to wash your hands, according to the CDC",2020-02-29,topNewsHeadlines
"Jack Brewer, former NFL player, declares Trump 'first black president'",2020-02-29,topNewsHeadlines
Trump Claims Responsibility For Longest Black History Month In 4 Years,2020-02-29,topNewsHeadlines
Barry Sanders gets in on joke after Garth Brooks jersey confusion,2020-02-29,topNewsHeadlines
Billionaire Tom Steyer quits Democratic primary race,2020-02-29,topNewsHeadlines
Santa Clara County,2020-02-29,topTrendingOnSm
Bad Bunny,2020-02-29,topTrendingOnSm
South Carolina primary,2020-02-29,topTrendingOnSm
RIP Trader Joe,2020-02-29,topTrendingOnSm
Apple stock,2020-02-29,topTrendingOnSm
Barry Sanders,2020-02-29,topTrendingOnSm
Giannis Antetokounmpo,2020-02-29,topTrendingOnSm
Dow Jones today,2020-02-29,topTrendingOnSm
Liverpool,2020-02-29,topTrendingOnSm
#LeapDay,2020-02-29,topTrendingOnSm
Maria Sharapova,2020-02-29,topTrendingOnSm
Olympic marathon trials,2020-02-29,topTrendingOnSm
"New! BREAKING @PeteButtigieg to announce he is out of the presidential race, his staff now hearing the news in campaign call, sources tell us.<e2><80><94> Carla Marinucci (@cmarinucci) ",2020-03-01,topTweets
Miss you<e2><9d><a4><ef><b8><8f> https://t.co/v2220Epkhy<e2><80><94> Skai (@skaijackson) ,2020-03-01,topTweets
"oh to be a yellow lab napping on a windowsill overlooking a canal in Bruges https://t.co/zrur4pq0bN<e2><80><94> Amy (@_oatcake) February 29, 2020",2020-03-01,topTweets
Pete Buttigieg to Quit Democratic Presidential Race,2020-03-01,topNewsHeadlines
Washington state man becomes first U.S. death from coronavirus,2020-03-01,topNewsHeadlines
Billionaire Tom Steyer quits Democratic primary race,2020-03-01,topNewsHeadlines
"US, Taliban sign Afghanistan peace deal in Doha",2020-03-01,topNewsHeadlines
"Biden wins South Carolina primary, Sanders in 2nd, NBC News projects",2020-03-01,topNewsHeadlines
Trump Claims Responsibility For Longest Black History Month In 4 Years,2020-03-01,topNewsHeadlines
"Bernie Sanders Boards the Wrong Private Jet, Campaign Brain Fart",2020-03-01,topNewsHeadlines
"Buttigieg exits presidential race ahead of Super Tuesday, cementing collapse after strong Iowa showing",2020-03-01,topNewsHeadlines
"Congregants turn their backs on Bloomberg inside Selma, Ala., church",2020-03-01,topNewsHeadlines
"DIMARTINO: How Venezuela Went From A Rich Nation Of Immigrants, To A Hungry Nation Of Refugees",2020-03-01,topNewsHeadlines
"Deadly 1918 flu pandemic<e2><80><99>s lessons ignored in Trump<e2><80><99>s coronavirus response, historian says",2020-03-01,topNewsHeadlines
South Carolina Primary,2020-03-01,topTrendingOnSm
David Byrne,2020-03-01,topTrendingOnSm
#HalaMadrid,2020-03-01,topTrendingOnSm
